Festival;Ville;Code Insee;Département;Lieu de festival;Organisateur;Site;Aidé par la Région Bretagne;geo
Festival Travelling;Rennes;35238.0;Ille et Vilaine;Rennes;Clair Obscur;https://www.clairobscur.info/Accueil-Travelling-2800-0-0-0.html;oui;48.1119791219, -1.68186449144
Festival Zanzan;Rennes;35238.0;Ille et Vilaine;Rennes;Zan Zan Films;https://www.zanzan-films.com/zanzan-films/;;48.1119791219, -1.68186449144
Festival Pêcheurs du Monde;Lorient;56121.0;Morbihan;Lorient;Festival Pêcheurs du Monde;https://www.pecheursdumonde.org/;oui;47.7500486947, -3.37823200917
Festival 7ième lune;Lorient;56121.0;Morbihan;Lorient;La Nouvelle Lune;https://7emelune.com/;oui;47.7500486947, -3.37823200917
Festival CinéMA35 du film francophone;Acigné;35001.0;Ille et Vilaine;Dans toute l'Ille-et-vilaine;CineMA35;http://www.cinema35.fr/festival-cinema-35-fete-2020/;;48.1464008617, -1.51879762112
Panoramic;Saint-Brieuc;22278.0;Côtes d'Armor;Saint-Brieuc;Le Cercle;https://associationlecercle.fr/cinema/cinema-de-plein-air/;;48.5149806053, -2.76154552773
Festival de cinéma de Douarnenez;Douarnenez;29046.0;Finsitère;Douarnenez;Association festival de Douardenez;http://www.festival-douarnenez.com/fr/;oui;48.0806526556, -4.32784220122
"Festival les Passeurs de lumière "" Rebelles""";Bannalec;29004.0;Finsitère;Bannalec;Label Image;https://www.festivallespasseursdelumiere.fr/;oui;47.9350863729, -3.69536960662
Festival Européen du Film Court de Brest;Brest;29019.0;Finsitère;Brest;Côté Ouest;https://www.filmcourt.fr/;oui;48.4004997828, -4.5027907853
Festival Regards Croisés;Saint-Malo;35288.0;Ille et Vilaine;Saint-Malo;L'hippocampe;https://www.festivalregardscroises.com/;;48.6400443482, -1.98060627256
Combat - Festival du court métrage;Josselin;56091.0;Morbihan;Josselin;Cinéma le Beaumanoir;https://www.facebook.com/FestivalCombat/;;47.9544411983, -2.54877600621
Démocratie;Brest;29019.0;Finsitère;Brest;Canal Ti ZEF;http://www.canaltizef.infini.fr/;;48.4004997828, -4.5027907853
Rencontre du Cinéma Europeen;Vannes;56260.0;Morbihan;Vannes;Ciné Cran;https://www.cinecran.org/;oui;47.6597493766, -2.75714329498
Etonnants Voyageurs;Saint-Malo;35288.0;Ille et Vilaine;Saint-Malo;Association Étonnants Voyageurs;https://www.etonnants-voyageurs.com/;;48.6400443482, -1.98060627256
Festival du Film de l'Ouest;Betton;35024.0;Ille et Vilaine;Betton;Courts en Betton;https://www.courtsenbetton.com/#;oui;48.1812360423, -1.64589552684
Festival du film britannique de Dinard;Dinard;35093.0;Ille et Vilaine;Dinard;Ville de Dinard;https://www.dinardfilmfestival.fr/;oui;48.6241805945, -2.0619828606
Festival Armoricourt;Plestin-Les-Grèves;22194.0;Côtes d'Armor;Plestin-Les-Grèves;Armoricourt;http://www.festival-armoricourt.com/;;48.6476598998, -3.6197891944
Festival Feux Croisés;Penmarc'h;29158.0;Finsitère;Penmarc'h;Penmarc'h;;;47.8121478804, -4.34003367039
Le mois du film documentaire;Rennes;35238.0;Ille et Vilaine;Rennes;Comptoir du Doc;https://www.comptoirdudoc.org/;oui;48.1119791219, -1.68186449144
le Joli mai;Lorient;56121.0;Morbihan;Lorient;J'ai vu un documentaire;https://jaivuundocumentaire.fr/le-joli-mai/;oui;47.7500486947, -3.37823200917
Festival national du films d'animation;Rennes;35238.0;Ille et Vilaine;Rennes;AFCA;http://festival-film-animation.fr/;oui;48.1119791219, -1.68186449144
Rencontres Art et Essai de Bretagne;Dinard;35093.0;Ille et Vilaine;Dinard;La règle du jeu;https://www.asso-regledujeu.com/non-classe/rencontres-art-et-essai-de-bretagne-2017;oui;48.6241805945, -2.0619828606
Rencontres du film documentaire;Mellionnec;22146.0;Côtes d'Armor;Mellionnec;Ty Films;https://www.tyfilms.fr/-Les-rencontres-.html;oui;48.1687655698, -3.28980026504
2nd Rôles - Festival des seconds rôles du cinéma;Audierne;29003.0;Finsitère;Audierne;Les voleurs de feu;http://www.festivalcinema-audierne.com/;;48.0241077574, -4.54448750165
Festival International du film insulaire de l'Ile de Groix;Groix;56069.0;Morbihan;Groix;Fifig;http://www.filminsulaire.com/;oui;47.6372394221, -3.4644268016
Rencontres de Films en Bretagne;St Quai Portrieux;22325.0;Côtes d'Armor;St Quai Portrieux;Films en Bretagne;https://lesrencontresdefilmsenbretagne.org/;oui;48.6542475006, -2.84382337656
Festival Court Métrange Rennes;Rennes;35238.0;Ille et Vilaine;Rennes;Unis vers 7 arrivé;http://www.courtmetrange.eu/index.php;oui;48.1119791219, -1.68186449144
Festival intergalactique de l'image alternative;Brest;29019.0;Finsitère;Brest;Canal Ti ZEF;http://www.canaltizef.infini.fr/spip.php?rubrique68;oui;48.4004997828, -4.5027907853
Festival Films courts de Dinan;Dinan;22050.0;Côtes d'Armor;Dinan;Festival Films courts de Dinan;https://www.festivalfilmscourts.fr/;;48.4557709953, -2.04816149693
L'œil Vagabond;Saint-Brieuc;22278.0;Côtes d'Armor;Dans toute l'Ille-et-vilaine et les côtes d'Armor;UFFEJ Bretagne;http://uffejbretagne.net/oeil-vagabond/;;48.5149806053, -2.76154552773
Festival nouvelles images d'Iran;Vitré;35360.0;Ille et Vilaine;Vitré;Garromedia;http://www.nouvellesimagesdiran.fr/;;48.1140815063, -1.19370720718
